File Name,Lines*,Statements,Percent Branch Statements,Method Call Statements,Percent Lines with Comments,Classes and Interfaces,Methods per Class,Average Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9,commit_count,commiter_count,numberOfReportedBugs
src/main/java/org/apache/commons/math/analysis/BivariateRealFunction.java,33,3,0/0,0,39/4,1,1/00,0/00,,,0,34,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,11,3,0
src/main/java/org/apache/commons/math/analysis/DifferentiableMultivariateFunction.java,46,4,0/0,0,54/3,1,2/00,0/00,,,0,40,1,0/50,0/00,2,2,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/DifferentiableMultivariateVectorFunction.java,31,3,0/0,0,32/3,1,1/00,0/00,,,0,34,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateFunction.java,31,3,0/0,0,32/3,1,1/00,0/00,,,0,32,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateMatrixFunction.java,32,3,0/0,0,34/4,1,1/00,0/00,,,0,33,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateVectorFunction.java,32,3,0/0,0,34/4,1,1/00,0/00,,,0,33,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/analysis/function/Abs.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Abs.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Acos.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Acos.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Acosh.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Acosh.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Add.java,30,5,0/0,0,23/3,1,1/00,1/00,30,Add.value(),1,31,2,0/60,1/00,3,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Asin.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Asin.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Asinh.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Asinh.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Atan.java,41,10,0/0,3,22/0,1,2/00,1/00,32,Atan.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Atan2.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Atan2.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Atanh.java,41,10,0/0,3,22/0,1,2/00,1/00,32,Atanh.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Cbrt.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Cbrt.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,6,3,0
src/main/java/org/apache/commons/math/analysis/function/Ceil.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Ceil.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Constant.java,42,10,0/0,1,28/6,1,3/00,1/00,35,Constant.derivative(),1,36,2,1/00,1/00,3,4,3,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Cos.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Cos.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Cosh.java,35,8,0/0,2,22/9,1,2/00,1/00,31,Cosh.derivative(),1,32,2,0/75,1/00,4,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Divide.java,30,5,0/0,0,23/3,1,1/00,1/00,30,Divide.value(),1,31,2,0/60,1/00,3,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Exp.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Exp.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Expm1.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Expm1.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Floor.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Floor.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Gaussian.java,180,55,10/9,19,46/1,2,3/50,3/00,174,Parametric.validateParameters(),4,55,3,1/49,2/00,12,10,27,6,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/function/HarmonicOscillator.java,141,39,5/1,15,47/5,2,2/50,2/00,135,Parametric.validateParameters(),3,137,3,1/28,1/50,11,8,18,2,0,0,0,0,0,0,6,3,0
