"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L120","XYTitleAnnotation.java","/share/ProjectData/Chart/16/experimental/org/jfree/experimental/chart/annotations/XYTitleAnnotation.java","L119","24","0","16","0","198","382"
"L458","XYTitleAnnotationDemo1.java","/share/ProjectData/Chart/16/experimental/org/jfree/experimental/chart/demo/XYTitleAnnotationDemo1.java","L457","2","0","4","0","128","231"
"L730","XYCoordinateType.java","/share/ProjectData/Chart/16/experimental/org/jfree/experimental/chart/util/XYCoordinateType.java","L729","7","0","3","0","43","133"
"L123","XYTitleAnnotationTests.java","/share/ProjectData/Chart/16/experimental/org/jfree/experimental/chart/annotations/junit/XYTitleAnnotationTests.java","L122","3","0","7","0","81","164"
"L633","XYSmoothLineAndShapeRenderer.java","/share/ProjectData/Chart/16/experimental/org/jfree/experimental/chart/renderer/xy/XYSmoothLineAndShapeRenderer.java","L632","20","0","3","0","149","264"
"L2129","SWTGraphics2D.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/swt/SWTGraphics2D.java","L2128","36","0","73","0","550","1242"
"L2130","SWTPaintCanvas.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/swt/SWTPaintCanvas.java","L2128","2","0","8","0","46","135"
"L2131","SWTUtils.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/swt/SWTUtils.java","L2128","36","0","15","0","272","490"
"L766","ChartComposite.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/ChartComposite.java","L765","140","0","54","1","1066","1823"
"L1385","SWTBarChartDemo1.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/demo/SWTBarChartDemo1.java","L1384","3","0","2","0","90","187"
"L1386","SWTMultipleAxisDemo1.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/demo/SWTMultipleAxisDemo1.java","L1384","4","0","3","0","126","224"
"L1387","SWTPieChartDemo1.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/demo/SWTPieChartDemo1.java","L1384","6","0","2","0","78","152"
"L1388","SWTTimeSeriesDemo.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/demo/SWTTimeSeriesDemo.java","L1384","4","0","2","0","118","206"
"L1628","SWTAxisEditor.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTAxisEditor.java","L1627","9","0","0","0","217","378"
"L1629","SWTChartEditor.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTChartEditor.java","L1627","3","0","4","0","86","169"
"L1630","SWTNumberAxisEditor.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTNumberAxisEditor.java","L1627","11","0","0","0","128","246"
"L1631","SWTOtherEditor.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTOtherEditor.java","L1627","2","0","0","0","71","145"
"L1632","SWTPlotAppearanceEditor.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTPlotAppearanceEditor.java","L1627","10","0","0","0","185","277"
"L1633","SWTPlotEditor.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTPlotEditor.java","L1627","16","0","0","0","113","216"
"L1634","SWTStrokeCanvas.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTStrokeCanvas.java","L1627","3","0","0","0","51","125"
"L1635","SWTTitleEditor.java","/share/ProjectData/Chart/16/swt/org/jfree/experimental/chart/swt/editor/SWTTitleEditor.java","L1627","7","0","0","0","160","275"
"L2878","ChartColor.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartColor.java","L2877","1","0","3","0","70","190"
"L2879","ChartFactory.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartFactory.java","L2877","120","0","39","0","1149","2187"
"L2880","ChartFrame.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartFrame.java","L2877","2","0","4","0","24","97"
"L2881","ChartMouseEvent.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartMouseEvent.java","L2877","1","0","5","0","27","119"
"L2882","ChartMouseListener.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartMouseListener.java","L2877","1","0","3","0","6","74"
"L2883","ChartPanel.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartPanel.java","L2877","145","0","90","0","1252","2539"
"L2884","ChartRenderingInfo.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartRenderingInfo.java","L2877","9","0","11","0","87","257"
"L2885","ChartUtilities.java","/share/ProjectData/Chart/16/source/org/jfree/chart/ChartUtilities.java","L2877","19","0","27","0","260","747"
"L2886","Drawable.java","/share/ProjectData/Chart/16/source/org/jfree/chart/Drawable.java","L2877","1","0","2","0","6","37"
"L2887","Effect3D.java","/share/ProjectData/Chart/16/source/org/jfree/chart/Effect3D.java","L2877","1","0","3","0","5","64"
"L2888","JFreeChart.java","/share/ProjectData/Chart/16/source/org/jfree/chart/JFreeChart.java","L2877","96","0","65","0","876","1866"
"L2889","LegendItem.java","/share/ProjectData/Chart/16/source/org/jfree/chart/LegendItem.java","L2877","33","0","36","0","375","883"
"L2890","LegendItemCollection.java","/share/ProjectData/Chart/16/source/org/jfree/chart/LegendItemCollection.java","L2877","4","0","9","0","42","150"
"L2891","LegendItemSource.java","/share/ProjectData/Chart/16/source/org/jfree/chart/LegendItemSource.java","L2877","1","0","2","0","4","58"
"L2892","LegendRenderingOrder.java","/share/ProjectData/Chart/16/source/org/jfree/chart/LegendRenderingOrder.java","L2877","6","0","3","0","39","123"
"L2893","PaintMap.java","/share/ProjectData/Chart/16/source/org/jfree/chart/PaintMap.java","L2877","10","0","8","0","85","221"
"L2894","PolarChartPanel.java","/share/ProjectData/Chart/16/source/org/jfree/chart/PolarChartPanel.java","L2877","13","0","5","0","108","255"
"L2895","StrokeMap.java","/share/ProjectData/Chart/16/source/org/jfree/chart/StrokeMap.java","L2877","10","0","8","0","85","216"
"L41665","ComparableObjectItem.java","/share/ProjectData/Chart/16/source/org/jfree/data/ComparableObjectItem.java","L41664","8","0","6","0","61","191"
"L41666","ComparableObjectSeries.java","/share/ProjectData/Chart/16/source/org/jfree/data/ComparableObjectSeries.java","L41664","32","0","13","0","200","452"
"L41667","DataUtilities.java","/share/ProjectData/Chart/16/source/org/jfree/data/DataUtilities.java","L41664","14","0","6","0","69","170"
"L41668","DefaultKeyedValue.java","/share/ProjectData/Chart/16/source/org/jfree/data/DefaultKeyedValue.java","L41664","9","0","9","0","53","177"
"L41669","DefaultKeyedValues.java","/share/ProjectData/Chart/16/source/org/jfree/data/DefaultKeyedValues.java","L41664","26","0","22","0","200","470"
"L41670","DefaultKeyedValues2D.java","/share/ProjectData/Chart/16/source/org/jfree/data/DefaultKeyedValues2D.java","L41664","39","0","24","0","251","570"
"L41671","DomainInfo.java","/share/ProjectData/Chart/16/source/org/jfree/data/DomainInfo.java","L41664","1","0","4","0","6","88"
"L41672","DomainOrder.java","/share/ProjectData/Chart/16/source/org/jfree/data/DomainOrder.java","L41664","7","0","4","0","46","139"
"L41673","KeyedObject.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedObject.java","L41664","6","0","7","0","46","152"
"L41674","KeyedObjects.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedObjects.java","L41664","25","0","17","0","156","357"
"L41675","KeyedObjects2D.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedObjects2D.java","L41664","42","0","23","0","257","523"
"L41676","KeyedValue.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedValue.java","L41664","1","0","2","0","4","60"
"L41677","KeyedValueComparator.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedValueComparator.java","L41664","16","0","5","0","84","175"
"L41678","KeyedValueComparatorType.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedValueComparatorType.java","L41664","4","0","4","0","30","113"
"L41679","KeyedValues.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedValues.java","L41664","1","0","5","0","8","107"
"L41680","KeyedValues2D.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyedValues2D.java","L41664","1","0","8","0","11","119"
"L41681","KeyToGroupMap.java","/share/ProjectData/Chart/16/source/org/jfree/data/KeyToGroupMap.java","L41664","29","0","11","0","170","326"
"L41682","Range.java","/share/ProjectData/Chart/16/source/org/jfree/data/Range.java","L41664","20","0","17","0","144","367"
"L41683","RangeInfo.java","/share/ProjectData/Chart/16/source/org/jfree/data/RangeInfo.java","L41664","1","0","4","0","6","88"
"L41684","RangeType.java","/share/ProjectData/Chart/16/source/org/jfree/data/RangeType.java","L41664","7","0","4","0","46","140"
"L41685","UnknownKeyException.java","/share/ProjectData/Chart/16/source/org/jfree/data/UnknownKeyException.java","L41664","1","0","2","0","6","58"
"L41686","Value.java","/share/ProjectData/Chart/16/source/org/jfree/data/Value.java","L41664","1","0","2","0","4","57"
"L41687","Values.java","/share/ProjectData/Chart/16/source/org/jfree/data/Values.java","L41664","1","0","3","0","5","72"
"L41688","Values2D.java","/share/ProjectData/Chart/16/source/org/jfree/data/Values2D.java","L41664","1","0","4","0","6","76"
