ID,Name,LongName,McCC,CLOC,PDA,PUA,LLOC,LOC,commiters,commits,is_buggy,before_bugs,after_bugs
org.jfree.experimental.chart.annotations.XYTitleAnnotation.java,org.jfree.experimental.chart.annotations.XYTitleAnnotation,experimental/org/jfree/experimental/chart/annotations/XYTitleAnnotation.java,24.00,24.00.00,24.00.00,24.00.00,24.00.00,24.00.00,3,1,0,0,0
org.jfree.experimental.chart.demo.DialDemo1.java,org.jfree.experimental.chart.demo.DialDemo1,experimental/org/jfree/experimental/chart/demo/DialDemo1.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.jfree.experimental.chart.demo.DialDemo2.java,org.jfree.experimental.chart.demo.DialDemo2,experimental/org/jfree/experimental/chart/demo/DialDemo2.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.jfree.experimental.chart.demo.DialDemo3.java,org.jfree.experimental.chart.demo.DialDemo3,experimental/org/jfree/experimental/chart/demo/DialDemo3.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.jfree.experimental.chart.demo.DialDemo4.java,org.jfree.experimental.chart.demo.DialDemo4,experimental/org/jfree/experimental/chart/demo/DialDemo4.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.jfree.experimental.chart.demo.DialDemo5.java,org.jfree.experimental.chart.demo.DialDemo5,experimental/org/jfree/experimental/chart/demo/DialDemo5.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.jfree.experimental.chart.demo.LogAxisDemo1.java,org.jfree.experimental.chart.demo.LogAxisDemo1,experimental/org/jfree/experimental/chart/demo/LogAxisDemo1.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,2,0,0,0
org.jfree.experimental.chart.demo.XYTitleAnnotationDemo1.java,org.jfree.experimental.chart.demo.XYTitleAnnotationDemo1,experimental/org/jfree/experimental/chart/demo/XYTitleAnnotationDemo1.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,1,0,0,0
org.jfree.experimental.chart.util.XYCoordinateType.java,org.jfree.experimental.chart.util.XYCoordinateType,experimental/org/jfree/experimental/chart/util/XYCoordinateType.java,7.00,7.00.00,7.00.00,7.00.00,7.00.00,7.00.00,3,1,0,0,0
org.jfree.experimental.chart.annotations.junit.XYTitleAnnotationTests.java,org.jfree.experimental.chart.annotations.junit.XYTitleAnnotationTests,experimental/org/jfree/experimental/chart/annotations/junit/XYTitleAnnotationTests.java,3.00,3.00.00,3.00.00,3.00.00,3.00.00,3.00.00,3,1,0,0,0
