ID,Name,LongName,McCC,CLOC,PDA,PUA,LLOC,LOC,commiters,commits,is_buggy,before_bugs,after_bugs
com.google.debugging.sourcemap.Base64.java,com.google.debugging.sourcemap.Base64,src/com/google/debugging/sourcemap/Base64.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,2,0,0,0
com.google.debugging.sourcemap.Base64VLQ.java,com.google.debugging.sourcemap.Base64VLQ,src/com/google/debugging/sourcemap/Base64VLQ.java,6.00,6.00.00,6.00.00,6.00.00,6.00.00,6.00.00,3,3,0,0,0
com.google.debugging.sourcemap.FilePosition.java,com.google.debugging.sourcemap.FilePosition,src/com/google/debugging/sourcemap/FilePosition.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,4,0,0,0
com.google.debugging.sourcemap.SourceMapConsumer.java,com.google.debugging.sourcemap.SourceMapConsumer,src/com/google/debugging/sourcemap/SourceMapConsumer.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,3,0,0,0
com.google.debugging.sourcemap.SourceMapConsumerFactory.java,com.google.debugging.sourcemap.SourceMapConsumerFactory,src/com/google/debugging/sourcemap/SourceMapConsumerFactory.java,6.00,6.00.00,6.00.00,6.00.00,6.00.00,6.00.00,3,6,0,0,0
com.google.debugging.sourcemap.SourceMapConsumerV1.java,com.google.debugging.sourcemap.SourceMapConsumerV1,src/com/google/debugging/sourcemap/SourceMapConsumerV1.java,40.00,40.00.00,40.00.00,40.00.00,40.00.00,40.00.00,3,6,0,0,0
com.google.debugging.sourcemap.SourceMapConsumerV2.java,com.google.debugging.sourcemap.SourceMapConsumerV2,src/com/google/debugging/sourcemap/SourceMapConsumerV2.java,16.00,16.00.00,16.00.00,16.00.00,16.00.00,16.00.00,3,6,0,0,0
com.google.debugging.sourcemap.SourceMapConsumerV3.java,com.google.debugging.sourcemap.SourceMapConsumerV3,src/com/google/debugging/sourcemap/SourceMapConsumerV3.java,51.00,51.00.00,51.00.00,51.00.00,51.00.00,51.00.00,3,14,0,0,1
com.google.debugging.sourcemap.SourceMapFormat.java,com.google.debugging.sourcemap.SourceMapFormat,src/com/google/debugging/sourcemap/SourceMapFormat.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,4,0,0,0
com.google.debugging.sourcemap.SourceMapGenerator.java,com.google.debugging.sourcemap.SourceMapGenerator,src/com/google/debugging/sourcemap/SourceMapGenerator.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,5,0,0,0
