ID,Name,LongName,McCC,CLOC,PDA,PUA,LLOC,LOC,commiters,commits,is_buggy,before_bugs,after_bugs
org.apache.commons.lang3.DateFormatter.java,org.apache.commons.lang3.DateFormatter,src/pending/DateFormatter.java,36.00,36.00.00,36.00.00,36.00.00,36.00.00,36.00.00,3,7,0,0,0
org.apache.commons.lang3.DateFormatterTest.java,org.apache.commons.lang3.DateFormatterTest,src/pending/DateFormatterTest.java,10.00,10.00.00,10.00.00,10.00.00,10.00.00,10.00.00,3,7,0,0,0
couldn't,couldn't,src/pending/CalendarUtils.java,71.00,71.00.00,71.00.00,71.00.00,71.00.00,71.00.00,3,6,0,0,0
couldn't,couldn't,src/pending/CalendarUtilsTest.java,7.00,7.00.00,7.00.00,7.00.00,7.00.00,7.00.00,3,9,0,0,0
org.apache.commons.lang3.ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,src/main/java/org/apache/commons/lang3/ArrayUtils.java,440.00,440.00.00,440.00.00,440.00.00,440.00.00,440.00.00,3,39,0,2,0
org.apache.commons.lang3.BitField.java,org.apache.commons.lang3.BitField,src/main/java/org/apache/commons/lang3/BitField.java,6.00,6.00.00,6.00.00,6.00.00,6.00.00,6.00.00,3,5,0,0,0
org.apache.commons.lang3.BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,src/main/java/org/apache/commons/lang3/BooleanUtils.java,100.00,100.00.00,100.00.00,100.00.00,100.00.00,100.00.00,3,25,0,0,0
org.apache.commons.lang3.CharEncoding.java,org.apache.commons.lang3.CharEncoding,src/main/java/org/apache/commons/lang3/CharEncoding.java,3.00,3.00.00,3.00.00,3.00.00,3.00.00,3.00.00,3,8,0,0,0
org.apache.commons.lang3.CharRange.java,org.apache.commons.lang3.CharRange,src/main/java/org/apache/commons/lang3/CharRange.java,28.00,28.00.00,28.00.00,28.00.00,28.00.00,28.00.00,3,16,0,0,0
org.apache.commons.lang3.CharSequenceUtils.java,org.apache.commons.lang3.CharSequenceUtils,src/main/java/org/apache/commons/lang3/CharSequenceUtils.java,3.00,3.00.00,3.00.00,3.00.00,3.00.00,3.00.00,3,21,0,0,0
org.apache.commons.lang3.CharSet.java,org.apache.commons.lang3.CharSet,src/main/java/org/apache/commons/lang3/CharSet.java,17.00,17.00.00,17.00.00,17.00.00,17.00.00,17.00.00,3,13,0,0,0
org.apache.commons.lang3.CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,src/main/java/org/apache/commons/lang3/CharSetUtils.java,27.00,27.00.00,27.00.00,27.00.00,27.00.00,27.00.00,3,15,0,0,0
org.apache.commons.lang3.CharUtils.java,org.apache.commons.lang3.CharUtils,src/main/java/org/apache/commons/lang3/CharUtils.java,30.00,30.00.00,30.00.00,30.00.00,30.00.00,30.00.00,3,12,0,0,0
org.apache.commons.lang3.ClassUtils.java,org.apache.commons.lang3.ClassUtils,src/main/java/org/apache/commons/lang3/ClassUtils.java,108.00,108.00.00,108.00.00,108.00.00,108.00.00,108.00.00,3,31,0,1,0
org.apache.commons.lang3.EnumUtils.java,org.apache.commons.lang3.EnumUtils,src/main/java/org/apache/commons/lang3/EnumUtils.java,4.00,4.00.00,4.00.00,4.00.00,4.00.00,4.00.00,3,15,0,0,0
org.apache.commons.lang3.LocaleUtils.java,org.apache.commons.lang3.LocaleUtils,src/main/java/org/apache/commons/lang3/LocaleUtils.java,37.00,37.00.00,37.00.00,37.00.00,37.00.00,37.00.00,3,14,0,0,2
org.apache.commons.lang3.ObjectUtils.java,org.apache.commons.lang3.ObjectUtils,src/main/java/org/apache/commons/lang3/ObjectUtils.java,26.00,26.00.00,26.00.00,26.00.00,26.00.00,26.00.00,3,36,0,0,0
org.apache.commons.lang3.Pair.java,org.apache.commons.lang3.Pair,src/main/java/org/apache/commons/lang3/Pair.java,4.00,4.00.00,4.00.00,4.00.00,4.00.00,4.00.00,3,18,0,0,0
org.apache.commons.lang3.RandomStringUtils.java,org.apache.commons.lang3.RandomStringUtils,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,25.00,25.00.00,25.00.00,25.00.00,25.00.00,25.00.00,3,14,0,0,2
org.apache.commons.lang3.Range.java,org.apache.commons.lang3.Range,src/main/java/org/apache/commons/lang3/Range.java,25.00,25.00.00,25.00.00,25.00.00,25.00.00,25.00.00,3,23,0,0,0
org.apache.commons.lang3.SerializationException.java,org.apache.commons.lang3.SerializationException,src/main/java/org/apache/commons/lang3/SerializationException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,8,0,0,0
org.apache.commons.lang3.SerializationUtils.java,org.apache.commons.lang3.SerializationUtils,src/main/java/org/apache/commons/lang3/SerializationUtils.java,11.00,11.00.00,11.00.00,11.00.00,11.00.00,11.00.00,3,23,0,0,1
org.apache.commons.lang3.StringEscapeUtils.java,org.apache.commons.lang3.StringEscapeUtils,src/main/java/org/apache/commons/lang3/StringEscapeUtils.java,7.00,7.00.00,7.00.00,7.00.00,7.00.00,7.00.00,3,25,0,0,0
org.apache.commons.lang3.StringUtils.java,org.apache.commons.lang3.StringUtils,src/main/java/org/apache/commons/lang3/StringUtils.java,544.00,544.00.00,544.00.00,544.00.00,544.00.00,544.00.00,3,161,0,3,2
org.apache.commons.lang3.SystemUtils.java,org.apache.commons.lang3.SystemUtils,src/main/java/org/apache/commons/lang3/SystemUtils.java,25.00,25.00.00,25.00.00,25.00.00,25.00.00,25.00.00,3,19,0,1,0
org.apache.commons.lang3.Validate.java,org.apache.commons.lang3.Validate,src/main/java/org/apache/commons/lang3/Validate.java,42.00,42.00.00,42.00.00,42.00.00,42.00.00,42.00.00,3,27,0,0,0
org.apache.commons.lang3.builder.Builder.java,org.apache.commons.lang3.builder.Builder,src/main/java/org/apache/commons/lang3/builder/Builder.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,5,0,0,0
org.apache.commons.lang3.builder.CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,src/main/java/org/apache/commons/lang3/builder/CompareToBuilder.java,122.00,122.00.00,122.00.00,122.00.00,122.00.00,122.00.00,3,14,0,0,0
org.apache.commons.lang3.builder.EqualsBuilder.java,org.apache.commons.lang3.builder.EqualsBuilder,src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java,112.00,112.00.00,112.00.00,112.00.00,112.00.00,112.00.00,3,21,0,0,0
org.apache.commons.lang3.builder.HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,src/main/java/org/apache/commons/lang3/builder/HashCodeBuilder.java,50.00,50.00.00,50.00.00,50.00.00,50.00.00,50.00.00,3,25,0,1,0
org.apache.commons.lang3.builder.IDKey.java,org.apache.commons.lang3.builder.IDKey,src/main/java/org/apache/commons/lang3/builder/IDKey.java,3.00,3.00.00,3.00.00,3.00.00,3.00.00,3.00.00,3,6,0,0,0
org.apache.commons.lang3.builder.ReflectionToStringBuilder.java,org.apache.commons.lang3.builder.ReflectionToStringBuilder,src/main/java/org/apache/commons/lang3/builder/ReflectionToStringBuilder.java,22.00,22.00.00,22.00.00,22.00.00,22.00.00,22.00.00,3,13,0,0,0
org.apache.commons.lang3.builder.StandardToStringStyle.java,org.apache.commons.lang3.builder.StandardToStringStyle,src/main/java/org/apache/commons/lang3/builder/StandardToStringStyle.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,5,0,0,0
org.apache.commons.lang3.builder.ToStringBuilder.java,org.apache.commons.lang3.builder.ToStringBuilder,src/main/java/org/apache/commons/lang3/builder/ToStringBuilder.java,7.00,7.00.00,7.00.00,7.00.00,7.00.00,7.00.00,3,7,0,0,0
org.apache.commons.lang3.builder.ToStringStyle.java,org.apache.commons.lang3.builder.ToStringStyle,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,109.00,109.00.00,109.00.00,109.00.00,109.00.00,109.00.00,3,15,0,1,0
org.apache.commons.lang3.concurrent.AtomicInitializer.java,org.apache.commons.lang3.concurrent.AtomicInitializer,src/main/java/org/apache/commons/lang3/concurrent/AtomicInitializer.java,3.00,3.00.00,3.00.00,3.00.00,3.00.00,3.00.00,3,4,0,0,0
org.apache.commons.lang3.concurrent.BackgroundInitializer.java,org.apache.commons.lang3.concurrent.BackgroundInitializer,src/main/java/org/apache/commons/lang3/concurrent/BackgroundInitializer.java,8.00,8.00.00,8.00.00,8.00.00,8.00.00,8.00.00,3,7,0,0,0
org.apache.commons.lang3.concurrent.BasicThreadFactory.java,org.apache.commons.lang3.concurrent.BasicThreadFactory,src/main/java/org/apache/commons/lang3/concurrent/BasicThreadFactory.java,9.00,9.00.00,9.00.00,9.00.00,9.00.00,9.00.00,3,7,0,0,0
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer.java,org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,src/main/java/org/apache/commons/lang3/concurrent/CallableBackgroundInitializer.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,3,0,0,0
org.apache.commons.lang3.concurrent.ConcurrentException.java,org.apache.commons.lang3.concurrent.ConcurrentException,src/main/java/org/apache/commons/lang3/concurrent/ConcurrentException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,4,0,0,0
org.apache.commons.lang3.concurrent.ConcurrentInitializer.java,org.apache.commons.lang3.concurrent.ConcurrentInitializer,src/main/java/org/apache/commons/lang3/concurrent/ConcurrentInitializer.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,4,0,0,0
org.apache.commons.lang3.concurrent.ConcurrentRuntimeException.java,org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,src/main/java/org/apache/commons/lang3/concurrent/ConcurrentRuntimeException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,4,0,0,0
org.apache.commons.lang3.concurrent.ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,src/main/java/org/apache/commons/lang3/concurrent/ConcurrentUtils.java,14.00,14.00.00,14.00.00,14.00.00,14.00.00,14.00.00,3,11,0,0,0
org.apache.commons.lang3.concurrent.LazyInitializer.java,org.apache.commons.lang3.concurrent.LazyInitializer,src/main/java/org/apache/commons/lang3/concurrent/LazyInitializer.java,3.00,3.00.00,3.00.00,3.00.00,3.00.00,3.00.00,3,5,0,0,0
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer.java,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,src/main/java/org/apache/commons/lang3/concurrent/MultiBackgroundInitializer.java,10.00,10.00.00,10.00.00,10.00.00,10.00.00,10.00.00,3,6,0,0,0
org.apache.commons.lang3.concurrent.TimedSemaphore.java,org.apache.commons.lang3.concurrent.TimedSemaphore,src/main/java/org/apache/commons/lang3/concurrent/TimedSemaphore.java,12.00,12.00.00,12.00.00,12.00.00,12.00.00,12.00.00,3,7,0,0,0
org.apache.commons.lang3.exception.CloneFailedException.java,org.apache.commons.lang3.exception.CloneFailedException,src/main/java/org/apache/commons/lang3/exception/CloneFailedException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,3,0,0,0
org.apache.commons.lang3.exception.ContextedException.java,org.apache.commons.lang3.exception.ContextedException,src/main/java/org/apache/commons/lang3/exception/ContextedException.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,10,0,0,0
org.apache.commons.lang3.exception.ContextedRuntimeException.java,org.apache.commons.lang3.exception.ContextedRuntimeException,src/main/java/org/apache/commons/lang3/exception/ContextedRuntimeException.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,11,0,0,0
org.apache.commons.lang3.exception.DefaultExceptionContext.java,org.apache.commons.lang3.exception.DefaultExceptionContext,src/main/java/org/apache/commons/lang3/exception/DefaultExceptionContext.java,12.00,12.00.00,12.00.00,12.00.00,12.00.00,12.00.00,3,13,0,0,0
org.apache.commons.lang3.exception.ExceptionContext.java,org.apache.commons.lang3.exception.ExceptionContext,src/main/java/org/apache/commons/lang3/exception/ExceptionContext.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,6,0,0,0
org.apache.commons.lang3.exception.ExceptionUtils.java,org.apache.commons.lang3.exception.ExceptionUtils,src/main/java/org/apache/commons/lang3/exception/ExceptionUtils.java,49.00,49.00.00,49.00.00,49.00.00,49.00.00,49.00.00,3,15,0,0,0
org.apache.commons.lang3.math.Fraction.java,org.apache.commons.lang3.math.Fraction,src/main/java/org/apache/commons/lang3/math/Fraction.java,94.00,94.00.00,94.00.00,94.00.00,94.00.00,94.00.00,3,11,0,0,1
org.apache.commons.lang3.math.IEEE754rUtils.java,org.apache.commons.lang3.math.IEEE754rUtils,src/main/java/org/apache/commons/lang3/math/IEEE754rUtils.java,21.00,21.00.00,21.00.00,21.00.00,21.00.00,21.00.00,3,4,0,0,0
org.apache.commons.lang3.math.NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,190.00,190.00.00,190.00.00,190.00.00,190.00.00,190.00.00,3,31,0,1,6
org.apache.commons.lang3.mutable.Mutable.java,org.apache.commons.lang3.mutable.Mutable,src/main/java/org/apache/commons/lang3/mutable/Mutable.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,5,0,0,0
org.apache.commons.lang3.mutable.MutableBoolean.java,org.apache.commons.lang3.mutable.MutableBoolean,src/main/java/org/apache/commons/lang3/mutable/MutableBoolean.java,5.00,5.00.00,5.00.00,5.00.00,5.00.00,5.00.00,3,8,0,0,0
org.apache.commons.lang3.mutable.MutableByte.java,org.apache.commons.lang3.mutable.MutableByte,src/main/java/org/apache/commons/lang3/mutable/MutableByte.java,4.00,4.00.00,4.00.00,4.00.00,4.00.00,4.00.00,3,8,0,0,0
org.apache.commons.lang3.mutable.MutableDouble.java,org.apache.commons.lang3.mutable.MutableDouble,src/main/java/org/apache/commons/lang3/mutable/MutableDouble.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,11,0,0,0
org.apache.commons.lang3.mutable.MutableFloat.java,org.apache.commons.lang3.mutable.MutableFloat,src/main/java/org/apache/commons/lang3/mutable/MutableFloat.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,11,0,0,0
org.apache.commons.lang3.mutable.MutableInt.java,org.apache.commons.lang3.mutable.MutableInt,src/main/java/org/apache/commons/lang3/mutable/MutableInt.java,4.00,4.00.00,4.00.00,4.00.00,4.00.00,4.00.00,3,10,0,0,0
org.apache.commons.lang3.mutable.MutableLong.java,org.apache.commons.lang3.mutable.MutableLong,src/main/java/org/apache/commons/lang3/mutable/MutableLong.java,4.00,4.00.00,4.00.00,4.00.00,4.00.00,4.00.00,3,10,0,0,0
org.apache.commons.lang3.mutable.MutableObject.java,org.apache.commons.lang3.mutable.MutableObject,src/main/java/org/apache/commons/lang3/mutable/MutableObject.java,6.00,6.00.00,6.00.00,6.00.00,6.00.00,6.00.00,3,11,0,0,0
org.apache.commons.lang3.mutable.MutableShort.java,org.apache.commons.lang3.mutable.MutableShort,src/main/java/org/apache/commons/lang3/mutable/MutableShort.java,4.00,4.00.00,4.00.00,4.00.00,4.00.00,4.00.00,3,10,0,0,0
org.apache.commons.lang3.reflect.ConstructorUtils.java,org.apache.commons.lang3.reflect.ConstructorUtils,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,20.00,20.00.00,20.00.00,20.00.00,20.00.00,20.00.00,3,20,0,0,0
org.apache.commons.lang3.reflect.FieldUtils.java,org.apache.commons.lang3.reflect.FieldUtils,src/main/java/org/apache/commons/lang3/reflect/FieldUtils.java,37.00,37.00.00,37.00.00,37.00.00,37.00.00,37.00.00,3,15,0,0,0
org.apache.commons.lang3.reflect.MemberUtils.java,org.apache.commons.lang3.reflect.MemberUtils,src/main/java/org/apache/commons/lang3/reflect/MemberUtils.java,22.00,22.00.00,22.00.00,22.00.00,22.00.00,22.00.00,3,11,0,0,0
