"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L120","AnnotationUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/AnnotationUtils.java","L119","56","0","6","0","217","371"
"L121","ArrayUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/ArrayUtils.java","L119","506","0","219","0","2062","5823"
"L122","BitField.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/BitField.java","L119","6","0","19","0","68","284"
"L123","BooleanUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/BooleanUtils.java","L119","128","0","41","0","365","1083"
"L124","CharEncoding.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/CharEncoding.java","L119","3","0","2","0","21","106"
"L125","CharRange.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/CharRange.java","L119","28","0","0","0","154","361"
"L126","CharSequenceUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/CharSequenceUtils.java","L119","15","0","3","0","70","198"
"L127","CharSet.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/CharSet.java","L119","18","0","6","0","98","279"
"L128","CharSetUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/CharSetUtils.java","L119","21","0","6","0","76","218"
"L129","CharUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/CharUtils.java","L119","29","0","24","0","124","540"
"L130","ClassUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/ClassUtils.java","L119","110","0","37","0","487","1133"
"L131","Conversion.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/Conversion.java","L119","272","0","43","0","943","1718"
"L132","EnumUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/EnumUtils.java","L119","13","0","12","0","115","312"
"L133","JavaVersion.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/JavaVersion.java","L119","10","0","3","0","51","169"
"L134","LocaleUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/LocaleUtils.java","L119","29","0","10","0","140","302"
"L135","ObjectUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/ObjectUtils.java","L119","44","0","33","0","227","846"
"L136","RandomStringUtils.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/RandomStringUtils.java","L119","29","0","13","0","109","336"
"L137","Range.java","/share/ProjectData/Lang/5/src/main/java/org/apache/commons/lang3/Range.java","L119","31","0","24","0","185","495"
