"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L47023","TrajectoryDeterminationProblem.java","/share/ProjectData/Math/44/src/site/resources/userguide/TrajectoryDeterminationProblem.java","L47022","10","0","0","11","136","188"
"L120","Field.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/Field.java","L119","1","0","4","0","6","60"
"L121","FieldElement.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/FieldElement.java","L119","1","0","9","0","11","82"
"L122","MathException.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/MathException.java","L119","5","0","14","0","71","209"
"L123","MathRuntimeException.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/MathRuntimeException.java","L119","5","0","24","0","214","516"
"L124","package-info.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/package-info.java","L119","1","0","0","0","1","21"
"L139","BivariateRealFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/BivariateRealFunction.java","L138","1","0","2","0","4","37"
"L140","DifferentiableMultivariateRealFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/DifferentiableMultivariateRealFunction.java","L138","1","0","3","0","5","52"
"L141","DifferentiableMultivariateVectorialFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/DifferentiableMultivariateVectorialFunction.java","L138","1","0","2","0","5","37"
"L142","DifferentiableUnivariateMatrixFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateMatrixFunction.java","L138","1","0","2","0","5","36"
"L143","DifferentiableUnivariateRealFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateRealFunction.java","L138","1","0","2","0","5","35"
"L144","DifferentiableUnivariateVectorialFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/DifferentiableUnivariateVectorialFunction.java","L138","1","0","2","0","5","36"
"L145","FunctionUtils.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/FunctionUtils.java","L138","13","0","12","0","154","294"
"L146","MultivariateMatrixFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/MultivariateMatrixFunction.java","L138","1","0","2","0","5","37"
"L147","MultivariateRealFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/MultivariateRealFunction.java","L138","1","0","2","0","4","44"
"L148","MultivariateVectorialFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/MultivariateVectorialFunction.java","L138","1","0","2","0","5","37"
"L149","package-info.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/package-info.java","L138","1","0","0","0","1","34"
"L150","ParametricUnivariateRealFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/ParametricUnivariateRealFunction.java","L138","1","0","3","0","5","46"
"L151","TrivariateRealFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/TrivariateRealFunction.java","L138","1","0","2","0","4","37"
"L152","UnivariateMatrixFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/UnivariateMatrixFunction.java","L138","1","0","2","0","4","35"
"L153","UnivariateRealFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java","L138","1","0","2","0","4","83"
"L154","UnivariateVectorialFunction.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/analysis/UnivariateVectorialFunction.java","L138","1","0","2","0","4","35"
"L5089","Complex.java","/share/ProjectData/Math/44/src/main/java/org/apache/commons/math/complex/Complex.java","L5088","77","0","43","0","391","1223"
