ID,Name,LongName,McCC,CLOC,PDA,PUA,LLOC,LOC,commiters,commits,is_buggy,before_bugs,after_bugs
.TrajectoryDeterminationProblem.java,.TrajectoryDeterminationProblem,src/site/resources/userguide/TrajectoryDeterminationProblem.java,10.00,10.00.00,10.00.00,10.00.00,10.00.00,10.00.00,3,4,0,0,0
org.apache.commons.math.ArgumentOutsideDomainException.java,org.apache.commons.math.ArgumentOutsideDomainException,src/java/org/apache/commons/math/ArgumentOutsideDomainException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,9,0,0,0
org.apache.commons.math.ConvergenceException.java,org.apache.commons.math.ConvergenceException,src/java/org/apache/commons/math/ConvergenceException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,27,0,0,0
org.apache.commons.math.ConvergingAlgorithm.java,org.apache.commons.math.ConvergingAlgorithm,src/java/org/apache/commons/math/ConvergingAlgorithm.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,4,0,0,0
org.apache.commons.math.ConvergingAlgorithmImpl.java,org.apache.commons.math.ConvergingAlgorithmImpl,src/java/org/apache/commons/math/ConvergingAlgorithmImpl.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,4,0,0,0
org.apache.commons.math.DimensionMismatchException.java,org.apache.commons.math.DimensionMismatchException,src/java/org/apache/commons/math/DimensionMismatchException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,7,0,0,0
org.apache.commons.math.DuplicateSampleAbscissaException.java,org.apache.commons.math.DuplicateSampleAbscissaException,src/java/org/apache/commons/math/DuplicateSampleAbscissaException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,7,0,0,0
org.apache.commons.math.Field.java,org.apache.commons.math.Field,src/java/org/apache/commons/math/Field.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,3,0,0,0
org.apache.commons.math.FieldElement.java,org.apache.commons.math.FieldElement,src/java/org/apache/commons/math/FieldElement.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,3,0,0,0
org.apache.commons.math.FunctionEvaluationException.java,org.apache.commons.math.FunctionEvaluationException,src/java/org/apache/commons/math/FunctionEvaluationException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,18,0,0,0
org.apache.commons.math.MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,src/java/org/apache/commons/math/MathConfigurationException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,28,0,0,0
org.apache.commons.math.MathException.java,org.apache.commons.math.MathException,src/java/org/apache/commons/math/MathException.java,6.00,6.00.00,6.00.00,6.00.00,6.00.00,6.00.00,3,41,0,0,0
org.apache.commons.math.MathRuntimeException.java,org.apache.commons.math.MathRuntimeException,src/java/org/apache/commons/math/MathRuntimeException.java,6.00,6.00.00,6.00.00,6.00.00,6.00.00,6.00.00,3,12,0,0,0
org.apache.commons.math.MaxEvaluationsExceededException.java,org.apache.commons.math.MaxEvaluationsExceededException,src/java/org/apache/commons/math/MaxEvaluationsExceededException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,2,0,0,0
org.apache.commons.math.MaxIterationsExceededException.java,org.apache.commons.math.MaxIterationsExceededException,src/java/org/apache/commons/math/MaxIterationsExceededException.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,10,0,0,0
org.apache.commons.math.MessagesResources_fr.java,org.apache.commons.math.MessagesResources_fr,src/java/org/apache/commons/math/MessagesResources_fr.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,67,0,0,0
org.apache.commons.math.analysis.DifferentiableMultivariateRealFunction.java,org.apache.commons.math.analysis.DifferentiableMultivariateRealFunction,src/java/org/apache/commons/math/analysis/DifferentiableMultivariateRealFunction.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,2,0,0,0
org.apache.commons.math.analysis.DifferentiableMultivariateVectorialFunction.java,org.apache.commons.math.analysis.DifferentiableMultivariateVectorialFunction,src/java/org/apache/commons/math/analysis/DifferentiableMultivariateVectorialFunction.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,3,0,0,0
org.apache.commons.math.analysis.DifferentiableUnivariateMatrixFunction.java,org.apache.commons.math.analysis.DifferentiableUnivariateMatrixFunction,src/java/org/apache/commons/math/analysis/DifferentiableUnivariateMatrixFunction.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,2,0,0,0
org.apache.commons.math.analysis.DifferentiableUnivariateRealFunction.java,org.apache.commons.math.analysis.DifferentiableUnivariateRealFunction,src/java/org/apache/commons/math/analysis/DifferentiableUnivariateRealFunction.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,5,0,0,0
