ID,Name,LongName,McCC,CLOC,PDA,PUA,LLOC,LOC,commiters,commits,is_buggy,before_bugs,after_bugs
org.joda.example.time.AgeCalculator.java,org.joda.example.time.AgeCalculator,src/example/org/joda/example/time/AgeCalculator.java,19.00,19.00.00,19.00.00,19.00.00,19.00.00,19.00.00,3,1,0,0,0
org.joda.example.time.DateTimeBrowser.java,org.joda.example.time.DateTimeBrowser,src/example/org/joda/example/time/DateTimeBrowser.java,33.00,33.00.00,33.00.00,33.00.00,33.00.00,33.00.00,3,1,0,0,0
org.joda.example.time.DateTimePerformance.java,org.joda.example.time.DateTimePerformance,src/example/org/joda/example/time/DateTimePerformance.java,152.00,152.00.00,152.00.00,152.00.00,152.00.00,152.00.00,3,1,0,0,0
org.joda.example.time.Examples.java,org.joda.example.time.Examples,src/example/org/joda/example/time/Examples.java,2.00,2.00.00,2.00.00,2.00.00,2.00.00,2.00.00,3,1,0,0,0
org.joda.example.time.TimeZoneTable.java,org.joda.example.time.TimeZoneTable,src/example/org/joda/example/time/TimeZoneTable.java,17.00,17.00.00,17.00.00,17.00.00,17.00.00,17.00.00,3,2,0,0,0
org.joda.time.Chronology.java,org.joda.time.Chronology,src/main/java/org/joda/time/Chronology.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.joda.time.DateMidnight.java,org.joda.time.DateMidnight,src/main/java/org/joda/time/DateMidnight.java,26.00,26.00.00,26.00.00,26.00.00,26.00.00,26.00.00,3,7,0,0,0
org.joda.time.DateTime.java,org.joda.time.DateTime,src/main/java/org/joda/time/DateTime.java,41.00,41.00.00,41.00.00,41.00.00,41.00.00,41.00.00,3,8,0,0,0
org.joda.time.DateTimeComparator.java,org.joda.time.DateTimeComparator,src/main/java/org/joda/time/DateTimeComparator.java,23.00,23.00.00,23.00.00,23.00.00,23.00.00,23.00.00,3,2,0,0,0
org.joda.time.DateTimeConstants.java,org.joda.time.DateTimeConstants,src/main/java/org/joda/time/DateTimeConstants.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.joda.time.DateTimeField.java,org.joda.time.DateTimeField,src/main/java/org/joda/time/DateTimeField.java,1.00,1.00.00,1.00.00,1.00.00,1.00.00,1.00.00,3,1,0,0,0
org.joda.time.DateTimeFieldType.java,org.joda.time.DateTimeFieldType,src/main/java/org/joda/time/DateTimeFieldType.java,49.00,49.00.00,49.00.00,49.00.00,49.00.00,49.00.00,3,2,0,0,0
